,data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
1514792,2020-05-16,1,,
1514928,2020-05-17,0,-1.0,
1515066,2020-05-18,0,0.0,
1515209,2020-05-19,0,0.0,
1515359,2020-05-20,0,0.0,
1515518,2020-05-21,0,0.0,
1515681,2020-05-22,2,2.0,0.42857142857142855
1515856,2020-05-23,0,-2.0,0.2857142857142857
1516034,2020-05-24,2,2.0,0.5714285714285714
1516214,2020-05-25,0,-2.0,0.5714285714285714
1516396,2020-05-26,12,12.0,2.2857142857142856
1516580,2020-05-27,3,-9.0,2.7142857142857144
1516766,2020-05-28,3,0.0,3.142857142857143
1516957,2020-05-29,3,0.0,3.2857142857142856
1517150,2020-05-30,3,0.0,3.7142857142857144
1517345,2020-05-31,0,-3.0,3.4285714285714284
1517541,2020-06-01,0,0.0,3.4285714285714284
1517737,2020-06-02,2,2.0,2.0
1517937,2020-06-03,1,-1.0,1.7142857142857142
1518138,2020-06-04,3,2.0,1.7142857142857142
1518343,2020-06-05,2,-1.0,1.5714285714285714
1518550,2020-06-06,4,2.0,1.7142857142857142
1518758,2020-06-07,1,-3.0,1.8571428571428572
1518966,2020-06-08,2,1.0,2.142857142857143
1519174,2020-06-09,0,-2.0,1.8571428571428572
1519382,2020-06-10,0,0.0,1.7142857142857142
1519592,2020-06-11,1,1.0,1.4285714285714286
1519802,2020-06-12,0,-1.0,1.1428571428571428
1520013,2020-06-13,1,1.0,0.7142857142857143
1520225,2020-06-14,0,-1.0,0.5714285714285714
1520438,2020-06-15,1,1.0,0.42857142857142855
1520652,2020-06-16,0,-1.0,0.42857142857142855
1520869,2020-06-17,-1,-1.0,0.2857142857142857
1521087,2020-06-18,1,2.0,0.2857142857142857
1521306,2020-06-19,0,-1.0,0.2857142857142857
1521525,2020-06-20,1,1.0,0.2857142857142857
1521745,2020-06-21,0,-1.0,0.2857142857142857
1521965,2020-06-22,0,0.0,0.14285714285714285
1522185,2020-06-23,0,0.0,0.14285714285714285
1522406,2020-06-24,0,0.0,0.2857142857142857
1522627,2020-06-25,0,0.0,0.14285714285714285
1522848,2020-06-26,0,0.0,0.14285714285714285
1523069,2020-06-27,0,0.0,0.0
1523290,2020-06-28,0,0.0,0.0
1523511,2020-06-29,0,0.0,0.0
1523732,2020-06-30,0,0.0,0.0
1523954,2020-07-01,1,1.0,0.14285714285714285
1524176,2020-07-02,0,-1.0,0.14285714285714285
1524398,2020-07-03,2,2.0,0.42857142857142855
1524620,2020-07-04,2,0.0,0.7142857142857143
1524842,2020-07-05,0,-2.0,0.7142857142857143
1525064,2020-07-06,0,0.0,0.7142857142857143
1525286,2020-07-07,1,1.0,0.8571428571428571
1525508,2020-07-08,4,3.0,1.2857142857142858
1525730,2020-07-09,0,-4.0,1.2857142857142858
1525952,2020-07-10,2,2.0,1.2857142857142858
1526174,2020-07-11,1,-1.0,1.1428571428571428
1526396,2020-07-12,0,-1.0,1.1428571428571428
1526618,2020-07-13,0,0.0,1.1428571428571428
1526840,2020-07-14,0,0.0,1.0
1527063,2020-07-15,0,0.0,0.42857142857142855
1527288,2020-07-16,0,0.0,0.42857142857142855
1527513,2020-07-17,0,0.0,0.14285714285714285
1527738,2020-07-18,0,0.0,0.0
1527963,2020-07-19,1,1.0,0.14285714285714285
1528188,2020-07-20,0,-1.0,0.14285714285714285
1528413,2020-07-21,0,0.0,0.14285714285714285
1528638,2020-07-22,1,1.0,0.2857142857142857
1528863,2020-07-23,0,-1.0,0.2857142857142857
1529088,2020-07-24,1,1.0,0.42857142857142855
1529313,2020-07-25,0,-1.0,0.42857142857142855
1529538,2020-07-26,0,0.0,0.2857142857142857
