,holiday,ds
0,feriado,2020-01-01
1,feriado,2020-01-20
2,feriado,2020-02-24
3,feriado,2020-02-25
4,feriado,2020-04-10
5,feriado,2020-04-21
6,feriado,2020-05-01
7,feriado,2020-06-11
8,feriado,2020-06-29
9,feriado,2020-07-09
10,feriado,2020-09-07
11,feriado,2020-10-05
12,feriado,2020-10-12
13,feriado,2020-10-15
14,feriado,2020-10-28
15,feriado,2020-11-02
16,feriado,2020-11-15
17,feriado,2020-11-20
18,feriado,2020-12-07
19,feriado,2020-12-08
20,feriado,2020-12-25
21,feriado,2020-12-31
22,feriado,2021-01-01
23,feriado,2021-01-20
24,feriado,2021-02-15
25,feriado,2021-02-16
26,feriado,2021-02-17
27,feriado,2021-04-02
28,feriado,2021-04-21
29,feriado,2021-05-01
30,feriado,2021-06-03
31,feriado,2021-06-29
32,feriado,2021-07-09
33,feriado,2021-10-05
34,feriado,2021-10-05
35,feriado,2021-10-12
36,feriado,2021-10-15
37,feriado,2021-10-28
38,feriado,2021-11-02
39,feriado,2021-11-15
40,feriado,2021-11-20
41,feriado,2021-12-07
42,feriado,2021-12-08
43,feriado,2021-12-24
44,feriado,2021-12-25
45,feriado,2021-12-31
46,feriado,2022-01-01
47,feriado,2022-01-20
